id,time,created_at,from_user_name,text,filter_level,possibly_sensitive,withheld_copyright,withheld_scope,truncated,retweet_count,favorite_count,lang,to_user_name,in_reply_to_status_id,quoted_status_id,source,location,lat,lng,from_user_id,from_user_realname,from_user_verified,from_user_description,from_user_url,from_user_profile_image_url,from_user_utcoffset,from_user_timezone,from_user_lang,from_user_tweetcount,from_user_followercount,from_user_friendcount,from_user_favourites_count,from_user_listed,from_user_withheld_scope,from_user_created_at
996875051772403712,1526508508,2018-05-16T22:08:28Z,CHWM,"RT @agentbizzle: By 35, you should have at least one save file in every Zelda game, according to retirement experts.",none,NA,NA,NA,NA,4342,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,41225143,Amber Atkinson,0,"I am a graphic designer, fashion nerd, and follower of my Savior Jesus.",NA,http://pbs.twimg.com/profile_images/885372022808694784/jI2x96BQ_normal.jpg,-28800,Alaska,en,1843,107,110,17407,6,NA,2009-05-19T22:12:18Z
996875066024525824,1526508511,2018-05-16T22:08:31Z,WeaponizedRage,"Help Zelda out, will ya? https://t.co/Yz8awtFLfR",none,0,NA,NA,NA,3,8,en,NA,NA,996861210388811776,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The Lost Land,NA,NA,893750541267894272,Weaponized Nerd Rage,0,Total Jackass. Profanity enthusiast. Currently developing the RPG: OBSIDIAN DAWN.,https://t.co/S5N9eifTj2,http://pbs.twimg.com/profile_images/988362670674857984/43ZqTrgV_normal.jpg,NA,NA,en,11452,1176,702,6471,7,NA,2017-08-05T08:28:28Z
996875098501066753,1526508519,2018-05-16T22:08:39Z,HCoyote12,RT @ClubNintendoMex: El libro #TheLegendOfZelda: #MasterWorks llegará a América de la mano de una famosa editora de cómics. #CNnoticia https://t.co/SmS2376LxW https://t.co/JFnhXNHQb3,none,NA,NA,NA,NA,25,0,es,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,981950935,Van Hohenheim,0,"Don’t waste your time looking back, you’re not going that way",NA,http://pbs.twimg.com/profile_images/931028356031700992/VlGcTjnk_normal.jpg,NA,NA,es,2410,673,382,1230,1,NA,2012-12-01T06:14:07Z
996875105329471490,1526508520,2018-05-16T22:08:40Z,GamerGalsRT,RT @TestyShift: !!! Remember we are streaming at 6:00pm PST !!!  https://t.co/HibzMbMBco  #twitch #twitchtv #lurkforce #teamb42 #streamersconnected #smallstreamersunited #teamgodvek #fortnite #zelda #TwitchReTweets #TwitchOnline #KillerB07 #twitchkittens,none,0,NA,NA,NA,12,0,en,NA,NA,NA,"<a href=""http://kookygal.tumblr.com"" rel=""nofollow"">Galsrt</a>",NA,NA,NA,783149246178553856,⚔ GamerGals ⚔,0,"Creating a community supporting creators,streamers and game devs. Follow and use @GamerGalsRT for retweet~  Main @KookyGalFi  if you want to talk ☺",https://t.co/twNbKNV2ao,http://pbs.twimg.com/profile_images/785551388843577344/u7W2wC5s_normal.jpg,-25200,Pacific Time (US & Canada),en,36079,4612,2691,215,28,NA,2016-10-04T03:38:25Z
996875128431669254,1526508526,2018-05-16T22:08:46Z,Liontamer45,I liked a @YouTube video https://t.co/dla2IceBr6 THE LEGEND OF ZELDA: BREATH OF THE WILD FUNNY MOMENTS PT:4,none,0,NA,NA,NA,0,0,en,NA,NA,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",NA,NA,NA,707637098858164224,Lion,0,I'm an up and coming Youtuber and Streamer who focuses on having fun and hanging out with friends.,https://t.co/b0f0RbMjCm,http://pbs.twimg.com/profile_images/765877863467941888/wEUeCDsi_normal.jpg,-14400,America/New_York,en,2473,48,86,2124,2,NA,2016-03-09T18:40:06Z
996875176443895810,1526508537,2018-05-16T22:08:57Z,Ryumoau_Juno,RT @comicbookanime: Robin Williams’ daughter is asking for fans to help identify pieces of his massive anime collection:  https://t.co/BdRCSIlPRS https://t.co/Q8N7C04ugt,none,NA,NA,NA,NA,285,0,en,NA,NA,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","North Carolina, USA",NA,NA,707363567415205889,Ryumoau,0,"30, Male, Bi, and right leaning. Interested in Games, Politics, & Cosplay. PSN id: Ryumoau Warning: I tweet political and random stuff. I still despise Trump!!",NA,http://pbs.twimg.com/profile_images/980864014610780160/R4fc4WQL_normal.jpg,-14400,Eastern Time (US & Canada),en,85744,978,1155,204958,42,NA,2016-03-09T00:33:11Z
996875198656860160,1526508543,2018-05-16T22:09:03Z,bclaymoore,"RT @WeaponizedRage: Help Zelda out, will ya? https://t.co/Yz8awtFLfR",none,0,NA,NA,NA,3,0,en,NA,NA,996861210388811776,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,7136542,B. Clay Moore,1,Writer.,https://t.co/k8uboftJAy,http://pbs.twimg.com/profile_images/982401343280173056/Sd-6BnaJ_normal.jpg,-18000,Central Time (US & Canada),en,171,7759,1729,11958,383,NA,2007-06-28T18:41:19Z
996875273302888448,1526508560,2018-05-16T22:09:20Z,haleyjane29,I did a little photo shoot of Zelda for @sarabeth_74 ♥️ https://t.co/4OpCCGnL7A,none,0,NA,NA,NA,1,2,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Plano to Texas State,NA,NA,1376108546,Hales🌻,0,sweet creature// If you couldn’t tell @harry_styles is the love of my life 💓,NA,http://pbs.twimg.com/profile_images/991544006957060096/4kYx36___normal.jpg,NA,NA,en,30035,463,340,33237,5,NA,2013-04-24T03:52:17Z
996875295935336449,1526508566,2018-05-16T22:09:26Z,MaesterTed,"RT @RoPanuganti: NEW VID! #Zelda Link to the Past's Credit Roll!  🎸WATCH HERE: https://t.co/5FuIMWXBNd  Here's a special chill ambient-rock version for the #SoundoleChillOut2018 challenge, AND long-requested by professional superhero @SuperMCGamer. Sorry it took 2 years.  RTs appreciated pls! https://t.co/w6MDZynDKI",none,0,NA,NA,NA,16,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,483143871,Jonas Bombeke,0,NA,http://t.co/0cZwTzoz8q,http://pbs.twimg.com/profile_images/2028283425/545732_10150665742441305_722431304_9500258_1945756388_n_normal.jpg,NA,NA,en,262,63,115,183,1,NA,2012-02-04T17:51:12Z
996875314079895552,1526508570,2018-05-16T22:09:30Z,L_A_Creed,Misae Suma Shrine: Zelda Breath of the Wild walkthrough: https://t.co/XievbztGXj via @YouTube,none,0,NA,NA,NA,0,0,en,NA,NA,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",Florida,NA,NA,203122116,L.A.Creed,0,director for and founder of Paranormaldogs Productions. working on a web series and other small projects. I hope to be a major film director one day.,http://t.co/ZoAsaEMfX0,http://pbs.twimg.com/profile_images/378800000833977330/099d353299c1f91e390de83c422a1af8_normal.jpeg,-14400,Eastern Time (US & Canada),en,9027,136,244,9,5,NA,2010-10-15T15:46:26Z
