words;lang
alors;fr
au;fr
aucuns;fr
aussi;fr
autre;fr
avant;fr
avec;fr
avoir;fr
bon;fr
car;fr
ce;fr
cela;fr
ces;fr
ceux;fr
chaque;fr
ci;fr
comme;fr
comment;fr
dans;fr
des;fr
du;fr
dedans;fr
dehors;fr
depuis;fr
devrait;fr
doit;fr
donc;fr
dos;fr
début;fr
elle;fr
elles;fr
en;fr
encore;fr
est;fr
et;fr
eu;fr
fait;fr
faites;fr
fois;fr
font;fr
hors;fr
ici;fr
il;fr
ils;fr
je;fr
la;fr
le;fr
les;fr
leur;fr
là;fr
ma;fr
maintenant;fr
mais;fr
mes;fr
mine;fr
moins;fr
mon;fr
mot;fr
même;fr
ni;fr
notre;fr
nous;fr
ou;fr
par;fr
parce;fr
pas;fr
peut;fr
peu;fr
plupart;fr
pour;fr
pourquoi;fr
quand;fr
que;fr
quel;fr
quelle;fr
quelles;fr
quels;fr
qui;fr
sa;fr
sans;fr
ses;fr
seulement;fr
si;fr
sien;fr
son;fr
sont;fr
sous;fr
soyez;fr
sur;fr
ta;fr
tandis;fr
tellement;fr
tels;fr
tes;fr
ton;fr
tous;fr
tout;fr
trop;fr
très;fr
tu;fr
alors;fr
vont;fr
votre;fr
vous;fr
vu;fr
ça;fr
étaient;fr
état;fr
étions;fr
été;fr
être;fr
t.co;fr
https;fr
rt;fr
RT;fr
de;fr
un;fr
√†;fr
a;fr
une;fr
lui;fr
on;fr
c'est;fr
non;fr
ne;fr
aux;fr
au;fr
plus;fr
veut;fr
bien;fr
faire;fr
ses;fr
oui;fr
nos;fr
y;fr
b;fr
va;fr
entre;fr
e;fr
a;fr
b;fr
c;fr
d;fr
e;fr
f;fr
g;fr
h;fr
i;fr
j;fr
k;fr
l;fr
m;fr
n;fr
o;fr
p;fr
q;fr
r;fr
s;fr
t;fr
u;fr
v;fr
w;fr
x;fr
y;fr
z;fr
mes;fr
me;fr
mon;fr
ma;fr
ont;fr
vos;fr
afin;fr
leur;fr
leurs;fr
cet;fr
cette;fr
ce;fr
ces;fr
ce sont;fr
ses;fr
se;fr
via;fr
si;fr
je;fr
tu;fr
il;fr
nous;fr
vous;fr
ils;fr
jusque;fr
jusqu'a;fr
jusqu;fr
jusqu'en;fr
jusqu'alors;fr
l';fr
jusqu'ou;fr
ou;fr
qd;fr
jusqu'ici;fr
jusqu'au;fr
qu'on;fr
n'est;fr
n'a;fr
n'ont;fr
d'un;fr
qu'il;fr
s'y;fr
a;fr
b;fr
c;fr
d;fr
e;fr
f;fr
g;fr
h;fr
i;fr
j;fr
k;fr
l;fr
m;fr
n;fr
o;fr
p;fr
q;fr
r;fr
s;fr
t;fr
u;fr
v;fr
w;fr
x;fr
y;fr
z;fr
es;fr
ca;fr
te;fr
dit;fr
faut;fr
veut;fr
va;fr
and;en
the;en
of;en
in;en
to;en
for;en
my;en
tweets;fr
tweets;fr
is;en
are;en
at;en
with;en
you;en
all;en
by;en
about;en
to;en
for;en
my;en
twitter;fr
Twitter;fr
not;en
we from;en
for;en
will;en
we;en
be;en
aujourd;fr
hui;fr
de;fr
le;fr
rt;fr
to;en
for;en
this;en
our;en
your;en
from;en
that;en
mis;fr
chez;fr
they;en
as;en
can;en
des;fr
get;en
so;en
no;en
was;en
1;fr
2;fr
3;fr
4;fr
5;fr
6;fr
7;fr
8;fr
9;fr
10;fr
11;fr
12;fr
13;fr
14;fr
15;fr
16;fr
17;fr
18;fr
19;fr
20;fr
21;fr
22;fr
23;fr
24;fr
25;fr
26;fr
27;fr
28;fr
29;fr
30;fr
31;fr
32;fr
33;fr
34;fr
35;fr
36;fr
37;fr
38;fr
39;fr
40;fr
41;fr
42;fr
43;fr
44;fr
45;fr
46;fr
47;fr
48;fr
49;fr
50;fr
51;fr
52;fr
53;fr
54;fr
56;fr
57;fr
58;fr
59;fr
60;fr
61;fr
62;fr
63;fr
64;fr
65;fr
66;fr
67;fr
68;fr
69;fr
70;fr
71;fr
72;fr
73;fr
74;fr
75;fr
76;fr
77;fr
78;fr
79;fr
80;fr
81;fr
82;fr
83;fr
84;fr
85;fr
86;fr
87;fr
88;fr
89;fr
90;fr
91;fr
92;fr
93;fr
94;fr
95;fr
96;fr
97;fr
98;fr
99;fr
100;fr
site;fr
après;fr
apres;fr
ap;fr
av;fr
avant;fr
dr;fr
pr;fr
etre;fr
être;fr
1er;fr
2eme;fr
3eme;fr
big;en
an;fr
ans;fr
vs;en
contre;fr
ete;fr
hiver;fr
automne;fr
printemps;fr
dt;fr
lundi;fr
mardi;fr
mercredi;fr
jeudi;fr
vendredi;fr
samedi;fr
dimanche;fr
janvier;fr
fevrier;fr
février;fr
mars;fr
avril;fr
mai;fr
juin;fr
juillet;fr
aout;fr
août;fr
septembre;fr
octobre;fr
novembre;fr
décembre;fr
decembre;fr
winter;en
summer;en
spring;en
autumn;en
january;en
february;en
march;en
april;en
june;en
july;en
august;en
september;en
october;en
november;en
december;en
monday;en
tuesday;en
wednesday;en
thursday;en
friday;en
saturday;en
sunday;en
a;en
about;en
across;en
after;en
all;en
almost;en
also;en
am;en
among;en
an;en
and;en
any;en
are;en
as;en
at;en
be;en
because;en
been;en
but;en
by;en
can;en
cannot;en
could;en
dear;en
did;en
do;en
does;en
either;en
else;en
ever;en
every;en
for;en
from;en
get;en
got;en
had;en
has;en
have;en
he;en
her;en
hers;en
him;en
his;en
how;en
however;en
i;en
if;en
in;en
into;en
is;en
it;en
its;en
just;en
least;en
let;en
like;en
likely;en
may;en
me;en
might;en
most;en
must;en
my;en
neither;en
no;en
nor;en
not;en
of;en
off;en
often;en
on;en
only;en
or;en
other;en
our;en
own;en
rather;en
said;en
say;en
says;en
she;en
should;en
since;en
so;en
some;en
than;en
that;en
the;en
their;en
them;en
then;en
there;en
these;en
they;en
this;en
tis;en
to;en
too;en
twas;en
us;en
wants;en
was;en
we;en
were;en
what;en
when;en
where;en
which;en
while;en
who;en
whom;en
why;en
will;en
with;en
would;en
yet;en
you;en
your;en
aber;de
als;de
am;de
an;de
auch;de
auf;de
aus;de
bei;de
bin;de
bis;de
bist;de
da;de
dadurch;de
daher;de
darum;de
das;de
daß;de
dass;de
dein;de
deine;de
dem;de
den;de
der;de
des;de
dessen;de
deshalb;de
die;de
dies;de
dieser;de
dieses;de
doch;de
dort;de
du;de
durch;de
ein;de
eine;de
einem;de
einen;de
einer;de
eines;de
er;de
es;de
euer;de
eure;de
fur;de
hatte;de
hatten;de
hattest;de
hattet;de
hier;de
hinter;de
ich;de
ihr;de
ihre;de
im;de
in;de
ist;de
ja;de
jede;de
jedem;de
jeden;de
jeder;de
jedes;de
jener;de
jenes;de
jetzt;de
kann;de
kannst;de
können;de
konnt;de
machen;de
mein;de
meine;de
mit;de
muß;de
mußt;de
musst;de
mussen;de
mußt;de
nach;de
nachdem;de
nein;de
nicht;de
nun;de
oder;de
seid;de
sein;de
seine;de
sich;de
sie;de
sind;de
soll;de
sollen;de
sollst;de
sollt;de
sonst;de
soweit;de
sowie;de
und;de
unser;de
unsere;de
unter;de
vom;de
von;de
vor;de
wann;de
warum;de
was;de
weiter;de
weitere;de
wenn;de
wer;de
werde;de
werden;de
werdet;de
weshalb;de
wie;de
wieder;de
wieso;de
wir;de
wird;de
wirst;de
wo;de
woher;de
wohin;de
zu;de
zum;de
zur;de
uber;de
à;fr
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
